Material;Texto breve material
4003547;SUCRAFILM 1G C/30CP MAS EMS             
4003548;SUCRAFILM 2G C/20FLX10ML EMS            
4003549;BENESTARE 625MG C/30CP MEDLEY           
4003551;DERMOSALIC POMADA 30G BUNKER            
4003552;REVITAM PRIME C/30CP BIOLAB             
4003553;PROTOPIC POMADA 0,03PC C/10G LEO        
4003554;PROTOPIC POMADA 0,1PC C/10G LEO         
4003555;PROTOPIC POMADA DERM 0,1PC C/30G LEO    
4003556;LACRILAX C/1FRX10ML HYPERMARCAS         
4003557;CONCOR 2,5MG C/30CP MERCK               
4003558;NEUTROFER PREV SUSP 30ML EMS            
4003559;OTO-XILODASE C/1FR 8ML+1AP APSEN        
4003561;IMECAP CELLUT KIT GEL 250G C/60CP DIVCOM
4003562;IMECAP HAIR C/30CAPS DIVCOM             
4003563;IMECAP KIT REDUTOR 3X20CAPS DIVCOM      
4003564;IMECAP KIT QUED INTENSA SH+LOC+30CAP DIV
4003565;MATHERLLY GEST C/30CP NATURELIFE        
4003568;CLENIL NASAL AQS SPRAY C/20ML CHIESI    
4003569;HELMILAB 20 MG/ML SOL C/30ML NATULAB    
4003570;SOMALGIN CARDIO 200MG C/32CP EMS        
4003571;COSOPT SOL OFTALMICA C/5ML MUNDIPHARMA  
4003572;GESTINOL C/28CP LIBBS                   
4003573;FERANE 35 C/21CP CIFARMA                
4003574;FERANE 35 C/63CP CIFARMA                
4003575;MICRODIOL 150/30MCG C/21CP SUPERA       
4003576;DORICAL C/50CP LEGRAND                  
4003577;DORICAL KIDS SUSP C/120ML LEGRAND       
4003578;EMSCORT CREME C/30G EMS                 
4003580;PROCORALAN 5MG C/56CP SERVIER           
4003583;AMOXICILINA 500MG 21CAP -TEUTO          
4003584;AMOXICILINA 500MG 30CAP -TEUTO          
4003585;IBUPROFENO 50MG/ML GTS 30ML-TEUTO       
4003586;NISTATINA CR VAG 60G+14APLIC -TEUTO     
4003587;NISTATINA SUSPORAL100.000UI 50ML-TEUTO  
4003589;SULFAMET+TRIM 40+8MG/MLSUSP100ML-TEUTO  
4003590;ULTIBRO 30CAPS NOVARTIS                 
4003600;CEFALEXINA 500MG 8CP -TEUTO             
4003601;CETOCONAZOL+BETAMET CR 30G-TEUTO        
4003602;CETOCONAZOL+BETAMET POM 30G -TEUTO      
4003603;CETOCONAZOL+BETAMET+NEOM CR 30G-TEUTO   
4003604;CETOCONAZOL+BETAMET+NEOM POM 30G-TEUTO  
4003605;DICLOF DIETILAMONIO GEL 60G -TEUTO      
4003606;DICLOF POT 50MG DISPER 20CP -TEUTO      
4003607;FLUCONAZOL 150MG 2CAP -TEUTO            
4003608;METRONID+NISTAT CREME VAG 50G -TEUTO    
4003609;MICONAZOL CR VAG 20MG80G+14APLIC-TEUTO  
4003610;SIMETICONA 125MG 10CAP -TEUTO           
4003611;SIMETICONA 40MG 20CP -TEUTO             
4003612;SIMETICONA GTS 75MG 15ML -TEUTO         
4003613;TETRACICLINA 500MG 8CAP -TEUTO          
4003614;TIMOLOL SOL OFT 0,5% 5ML -TEUTO         
4003615;ACEBROFILINA XPE AD 50MG/5ML 120ML-TEUTO
4003616;ACEBROFILINA XPE PED25MG/5ML120ML-TEUTO 
4003617;AMBROXOL XPE AD 6MG BAN120ML+COP-TEUTO  
4003618;AMBROXOL XPE PED 3MG BANA120ML-TEUTO    
4003619;DEXCLORF XPE 2MG/5ML 100ML -TEUTO       
4003620;AMOXICI+CLAV POT-SUSP457MG/5ML 70ML-SDZ 
4003621;AMOXICI+CLAV POT-SUSP457MG/5ML 70ML-EUR 
4003622;CARVEDILOL 12,5MG 30CP - NEO QUIMICA    
4003623;CARVEDILOL 6,25MG 30CP - NEO QUIMICA    
4003624;BROMAZEPAM 3MG 20CP - EUROFARMA         
4003629;PAROXETINA 20MG 30CP - EUROFARMA        
4003631;RISPERIDONA 2MG 30CP - EUROFARMA        
4003632;RISPERIDONA 2MG 30CP REV - SANDOZ       
4003634;AMOXICILINA 500MG 15CAP - EUROFARMA     
4003635;BACITRACINA+NEOMICIN POM 15G -TEUTO     
4003641;ZETSIM 10/20MG C/30CP SCHERING          
4003643;ACEBROFILINA XPE AD 50MG/5ML 120MLTEUTO 
4003645;ABLOK PLUS 50/12,5MG 60CP BIOLAB        
4003650;ALIVIUM 400MG GEL 32BLX3CAP MANTECORP   
4003652;CALCITRAN D3 C/30CP DIVCOM              
4003653;GARASONE SOL OFT C/20ML HYPERMARCAS     
4003654;GLAUB SOL OFTAL C/5ML GENON             
4003655;PLURAIR NASAL 50MCG/60DOSES LIBBS       
4003656;VENALOT C/30CP TAKEDA                   
4003658;CLENIL HFA 50MCG SPRAY C/200DOS CHIESI  
4003659;CALCITRAN MDK C/30CP DIVCOM             
4003660;PANTOPRAZOL 20MG 28CP EMG               
4003661;DEXCLORF+BETAM XPE 120ML (MDL)          
4003662;DIPIRONA SODICA GTS 20ML NOVA QUIMICA   
4003665;DUSPATALIN 200MG C/30CP ABBOTT          
4003666;RITMONORM 300MG C/60CP ABBOTT           
4003668;DUSPATALIN 200MG C/60CP ABBOTT          
4003669;PIASCLEDINE 300MG C/30CP ABBOTT         
4003670;SINTOCALMY 300MG C/40CP ACHE            
4003671;SINTOCALMY 600MG C/30CP ACHE            
4003673;ARTROLIVE C/90CP ACHE                   
4003675;OSTEOBAN 150MG C/1CP ACHE               
4003676;ARISTAB 10MG C/30CP ACHE                
4003677;ARISTAB 15MG C/30CP ACHE                
4003678;DUO-TRAVATAN BAK FREE C/5ML ALCON       
4003679;VITALUX PLUS OMEGA 3 C/30CP ALCON       
4003680;TRAVATAN BAK FREE 0,04MG/ 5,0ML ALCON   
4003681;SYSTANE LID WIPES C/30SA (ALC) ALCON    
4003682;SYMBICORT TURBO 200MCG C/60DOSES ASTRAZ 
4003683;SYMBICORT TURBO 400MCG C/60DOSES ASTRAZ 
4003684;SEROQUEL XRO 200MG C/30CP C1 ASTRAZENEC 
4003685;SEROQUEL XRO 300MG C/30CP C1 ASTRAZEN   
4003686;SEROQUEL XRO 50MG C/30CP ASTRAZENECA    
4003687;VANNAIR 6/200MCG C/120DOSES ASTRAZENEC  
4003688;ATACAND COMB 16/2,5MG C/30CP ASTRAZENEC 
4003689;CRESTOR 40MG C/30CP ASTRAZENECA         
4003690;BRILINTA 90MG C/60CP ASTRAZENECA        
4003691;CRESTOR 5MG C/60CP ASTRAZENECA          
4003692;NEBIDO 250MG/ML 4ML C5 BAYER            
4003693;XARELTO 10MG C/10CP BAYER               
4003694;XARELTO 10MG C/30CP BAYER               
4003695;XARELTO 20MG C/28CP BAYER               
4003696;ALLURENE C/28CP BAYER                   
4003697;YAZ C/24+4CP BAYER                      
4003698;PANTOGAR C/90CP BIOLAB                  
4003699;LIPLESS C/90CP BIOLAB                   
4003701;ALENIA 12/400MCG REFILC/60CAP BIOSINTET 
4003705;LIPISTAT 20MG C/60CP EMS                
4003706;RUSOVAS 10MG C/30CP EMS                 
4003707;RUSOVAS 20MG C/30CP EMS                 
4003708;QUEROPAX 100MG C/30CP C1 EMS            
4003709;ESCILEX 10MG C/30CP C1 EMS              
4003711;QUEROPAX 25MG C/30CP C1 EMS             
4003712;RUSOVAS 5MG C/60CP EMS                  
4003713;CYMBI 30MG C/30CP C1 EMS                
4003714;CYMBI 60MG C/30CP C1 EMS                
4003716;RUSOVAS 10MG C/60CP EMS                 
4003717;DALYNE 3MG+0,03MG C/63CP EMS            
4003718;NIKI 3MG+0,02MG C/72CP EMS              
4003719;NIKI 3MG+0,02MG C/24CP EMS              
4003720;ESCILEX 15MG C/30CP C1 EMS              
4003721;ORLIPID 120MG C/42CP EMS                
4003722;ORLIPID 120MG C/84CP EMS                
4003723;CYMBI 60MG C/60CP C1 EMS                
4003724;CYMBI 30MG C/60CP C1 EMS                
4003725;PIETRA ED 2MG C/30CP EUROFARMA          
4003726;LUGANO 12MCG+250MCG C/60CAPS EUROFARMA  
4003727;LUGANO 12MCG+250MCG C/60CAPS+INAL EUROF 
4003728;TEGRETOL CR 200MG C/20COMP NOVARTIS     
4003729;TEGRETOL CR 200MG C/60CP C1 NOVARTIS    
4003730;TEGRETOL CR 400MG C/20COMP NOVARTIS     
4003731;DIOVAN 160MG C/28CP NOVARTIS            
4003732;DIOVAN 80MG C/28CP NOVARTIS             
4003733;DIOVAN HCT 80/12,5MG C/28COMP NOVARTIS  
4003734;EXELON 3MG C/28CP C1 NOVARTIS           
4003735;EXELON 4,5MG C/28CP C1 NOVARTIS         
4003736;EXELON 6MG C/28CP C1 NOVARTIS           
4003738;FORASEQ 12/400MCG 60+60CP NOVARTIS      
4003739;TRILEPTAL 300MG C/20CP NOVARTIS         
4003740;TRILEPTAL 300MG C/60CP NOVARTIS         
4003741;TRILEPTAL 600MG C/60CP NOVARTIS         
4003742;TRILEPTAL 600MG C/20CP NOVARTIS         
4003743;LEPONEX 100MG C/30CP NOVARTIS           
4003744;DIOVAN HCT 160/25MG C/28CP NOVARTIS     
4003746;DIOVAN 320MG C/28CP NOVARTIS            
4003748;TEGRETOL CR 400MG C/60COMP NOVARTIS     
4003749;RITALINA LA 20MG C/30CP A3 NOVARTIS     
4003750;DIOVAN AMLO FIX 80/5MG C/28CP NOVARTI   
4003751;DIOVAN AMLO FIX 160/10MG C/28CP NOVART  
4003752;DIOVAN AMLO FIX 320/5MG C/28CP NOVART   
4003753;DIOVAN AMLO FIX 320/10MG C/28CP NOVART  
4003754;EXELON PATCH5 4,6MG C/30UN C1 NOVARTIS  
4003755;EXELON PATCH10 9,5MG24H C/30ADES NOVART 
4003756;DIOVAN HCT 320/25MG C/28CP NOVARTIS     
4003757;STALEVO 100/25/200MG C/30COMP NOVARTIS  
4003758;EXELON PATCH15 13,3MG C/30ADES C1 NOVAR 
4003759;RITALINA LA 10MG C/30CP A3 NOVARTIS     
4003760;ONBRIZE 150MCG C/30COMP NOVARTIS        
4003761;ONBRIZE 300MCG C/30COMP NOVARTIS        
4003762;ROSULIB 10MG C/30COMP NOVARTIS          
4003763;ROSULIB 20MG C/30CP NOVARTIS            
4003764;EXFORGE HTC 160/25/10MG C/28CP NOVARTIS 
4003765;EXFORGE HTC 160/12,5/10MG C/28CP NOVART 
4003766;EXFORGE HTC 160/25/5MG C/28CP NOVARTIS  
4003767;XALACOM C/2,5ML PFIZER                  
4003768;FRONTAL 2MG C/30CP PFIZER               
4003769;FRONTAL XR 0,5MG C/30CP B1 PFIZER       
4003770;FRONTAL XR 2MG C/30CP B1 PFIZER         
4003772;LYRICA 75MG C/28CP C1 PFIZER            
4003773;FRONTAL SL 0,5MG C/30CP B1 PFIZER       
4003774;ELIQUIS 5,0MG C/20CP PFIZER             
4003775;ELIQUIS 5,0MG C/60CP PFIZER             
4003776;ELIQUIS 2,5 MG C/60CP PFIZER            
4003777;ELIQUIS 2,5 MG C/20CP PFIZER            
4003780;NORVASC 10MG C/30CP WYETH               
4003781;NORVASC 5MG C/30CP WYETH                
4003782;CITALOR 20MG C/30CP WYETH               
4003783;LIPITOR 40MG C/30CP WYETH               
4003784;LIPITOR 80MG C/30CP WYETH               
4003787;CELEBRA 200MG ADT C/10CP C1 WYETH       
4003788;OLMETEC 40MG C/30CP WYETH               
4003790;OLMETEC HCT 40+25MG C/30CP WYETH        
4003791;CARDURAN XL 4MG C/30CP WYETH            
4003793;ERANZ 10MG C/28CP C1 WYETH              
4003794;DETRUSITOL LA 4MG C/30CP WYETH          
4003795;PRISTIQ 50MG C/28CP C1(WYT) WYETH       
4003796;PRISTIQ 100MG C/28CP C1 WYETH           
4003797;OLMETEC ANLO 20/5MG C/30CP WYETH        
4003798;OLMETEC ANLO 40/10MG C/30CP WYETH       
4003799;OLMETEC ANLO 40/5MG C/30CP WYETH        
4003800;EFEXOR XR 75MG C/30CP C1 WYETH          
4003801;EFEXOR XR 150MG C/30CP C1 WYETH         
4003811;DIUPRESS 25MG C/20CP SUPERA             
4003812;MIRUGELL SOL OFT C/5ML LATINOFARMA      
4003813;MOVIMENT C 12G C/30SA EUROFARMA         
4003814;NESINA 25MG C/30CP TAKEDA FARMA         
4003815;QUETROS 25MG C/30CP C1 ACHE             
4003816;QUETROS 100MG C/30CP C1 ACHE            
4003817;VALDOXAN 25MG C/28CP SERVIER            
4003818;FLEBON 50MG C/30CP FARMOQUIMICA         
4003819;FIXARE C/60CP E.M.S                     
4003822;HIDRAFEMME GEL C/8APLIC 24G FARMOQUIMIC 
4003823;APLAUSE ADT C/30CP MARJAN               
4003824;MATERSUPRE C/30CP TEUTO                 
4003826;SIGMATRIOL 0,25MCG C/30CP GERMED        
4003827;CANDESARTANA CILE 16+12,5MG C/30CP SEM  
4003829;DICLIN C/63CP MERCK                     
4003830;HBACTER IBP 500MG+500MG+30MG 196CP CIFA 
4003831;SOFTALM C/1FRX5ML HYPERMARCAS           
4003832;GASTROL LARANJA EFER C/50EVX5G NEOQ CX50
4003833;GASTROL LIMAO EFER C/50EVX5G NEO QUIMI  
4003837;EFURIX CREME 50MG C/15G VALEANT         
4003839;CONCOR 1,25MG C/30CP MERCK              
4003840;CONCOR 5MG C/30CP MERCK                 
4003841;CONCOR 10MG C/30CP MERCK                
4003844;PRESSALIV C/1FRX5ML HYPERMARCAS         
4003845;HIRUDOID 500MG GEL C/40G SANKYO         
4003846;HIRUDOID 300 GEL C/40G SANKYO           
4003847;AMOXICILINA 250MG SUSP C/150ML TEUTO    
4003848;CLENIL HFA 250MCG SPRAY C/200DOS CHIESI 
4003849;PROMESTRIENO 10MG/G 30G C/20APLIC EUROFA
4003850;AFRIN INF C/20ML BAYER OTC              
4003851;AFRIN ADT C/30ML BAYER OTC              
4003852;LUCIARA CREME 200 ML ZODIAC             
4003853;IODARA 200 MCG C/30CP GROSS             
4003854;STILNOX CR 12,5MG C/20CP B1 SANOFI      
4003857;DICLIN C/21CP MERCK                     
4003860;ENTEROGERMINA 10FRA 5ML SANOFI          
4003870;SUPREMA 1M/2MG 28CP BIOLAB              
4003880;PROEPA UNI C/30CAPS ACHE                
4003890;GASTROGEL FRESH FRASCO C/ 150ML         
4003894;BUPROVIL 300MG CX C/20CP MULTILAB       
4003900;TESTE ACTION (ORG)                      
4003912;OPTIVE UD C/30FLX0,4ML (ALL)            
4003913;MAGNACAL C/30CP (ELO)                   
4003915;CALCITRAN MDK C/60CP (DVC)              
4003916;MONURIL GRANULADO C/2EVX8G (ZAM)        
4003917;QUET XR 50MG C/30CP (EUF)               
4003918;URSACOL 150MG C/30CP (ZAM)              
4003919;PURAN T4 62,5MCG C/30CP (SAV)           
4003920;VITERGYL C 1G C/10CP CIFARMA            
4003922;BONVIVA 150MG C/1CP (RCF)               
4003930;BIOFENAC DI 50mg C/ 20CP ACHE           
4003931;BIOFENAC DI 50 MG 10 CP ACHE            
4003940;FORTEN POL.ACIDOS 20FRX10ML (CHI)       
4003941;BRASART BCC 160MG+5MG C/60CP (SGF)      
4003943;DOBEVEN 500MG C/30CP (APS)              
4003947;MOBILITY 10G C/30EV (SAV)               
4003949;ASSERT 100MG C/30CP C1 (MOM)            
4003952;QUETROS 25MG C/15CP C1 (ACH)            
4003953;MESACOL MMX 1200MG C/30CP (TKF)         
4003954;MIRUGELL SOL OFT C/15ML (LAT)           
4003955;FITOSCAR POMADA C/20G (APS)             
4003958;ZINA 5MG C/10CP (EUF)                   
4003959;CALCITRAN D3 C/60CP (DVC)               
4003960;CEDUR RETARD 400MG C/30CP (GLM)         
4003962;PLURAIR NASAL 50MCG/120DOSES (LIB)      
4003963;GRACIAL C/22CP (SUP)                    
4003964;FLUTINOL SUSP OFT C/5ML (LAT)           
4003966;SLOW-K 600MG C/20CP (GKO)               
4003967;TRIVAGEL-N CRM VAG 60G+10APLIC (MRJ)    
4003969;VICK 44E XPE C/120ML (P&G)              
4003970;SIBLIMA C/24CP (LIB)                    
4003971;DRENISON N CREME C/30G (BLB)            
4003972;AKINETON RETARD 4MG C/30CP C1 (ABT)     
4003973;AKINETON 2MG C/80CP C1 (ABT)            
4003974;VENALOT C/60CP (TKF)                    
4003975;SINVASTACOR 20MG C/30CP (HEX)           
4003976;CIPROFAR 500MG C/14CP (ELO)             
4003978;MONURIL GRANULADO C/1EVX3G (ZAM)        
4003980;FORTEN POL ACIDOS 10FLX10ML (CHI)       
4003990;CITONEURIN 5000MG 3AMP 3ML MERCK        
4003993;DIPROSONE LOCAO 30ML                    
4004000;AMOXICILINA 875MG 20CPR EUROFARMA       
4004031;CITALOPRAM 20MG C/28CP C1 (EMG)         
4004032;ISKEMIL 6MG C/20CP (ACH)                
4004040;LEUCOGEN 80MG C/30CP ACHE               
4004050;ACETILCISTEINA 20MG XPE 100ML           
4004051;ACETILCISTEINA 20MG XPE 150ML           
4004052;ALPRAZOLAM 1MG 30CPR                    
4004053;AMOXICILINA 250MG SUS 5ML               
4004054;AMOXICILINA 500MG SUS 5ML               
4004055;AMPICILINA 500MG 12CAP                  
4004056;ATORVASTATINA CALCICA 10MG 30CP         
4004057;BETAISTINA DICLOR 16MG 30CPR            
4004058;BETAISTINA DICLOR 24MG 30CPR            
4004059;BETAMETASONA DIP+FOS 2+5MG INJ 6 AMP    
4004060;BUPROPIONA 150MG 30CP                   
4004062;CLONAZEPAM 2MG 30CP                     
4004063;FENTICONAZOL 0,02 G/G CREM BS AL 40G    
4004064;GLIMEPIRIDA 2MG 30CPR                   
4004065;GLIMEPIRIDA 4MG 30CPR                   
4004066;INDAPAMIDA 1,5MG 30CPR                  
4004067;IRBESARTANA + HIDROCL 150MG+12,5MG 30CP 
4004068;IRBESARTANA + HIDROCL 300MG+12,5MG 30CP 
4004069;ISOCONAZOL NITR CR 20G CRISTALIA        
4004070;ISOCONAZOL NITR CR VAG 40G CRISTALIA    
4004071;ITRACONAZOL 100MG 15 CAPS               
4004072;LEVOCETIRIZINA DICLOR 5MG 10CPR         
4004073;MEMANTINA CLOR 10MG 60CPR               
4004074;MONTELUCASTE 10MG 30CPR REV             
4004075;MOXIFLOXACINO 400MG 5CPR REV            
4004076;PANTOPRAZOL 40MG 42CPR NF               
4004078;PARACETAMOL 500MG + COD 30MG 36COM      
4004079;PROPAFENONA 300MG 30CP                  
4004080;QUETIAPINA 100MG 30CP                   
4004081;QUETIAPINA 200MG 30CP                   
4004082;SILDENAFILA CITR 50MG 2CPR              
4004083;SILDENAFILA CITR 50MG 4CPR              
4004084;TADALAFILA 20 MG 1 CPR                  
4004085;TADALAFILA 20MG 2CP                     
4004086;TADALAFILA 20 MG 4 CPR                  
4004087;TRIANCINOLONA + ASSOCIACOES CR 30G      
4004088;TRIANCINOLONA + ASSOCIACOES POM 30G     
4004089;TRIMEBUTINA MAL 200 MG 30 CAP ALT       
4004092;AD-MUC POMADA C/10G (AVO)               
4004096;CLAVULIN BD 875MG C/14CP (PBM)          
4004097;COZAAR 50MG C/30CP (SUP)                
4004099;CRONOBE 5000MCG C/2AP (BLB)             
4004103;HYZAAR 100/25MG C/30CP (SUP)            
4004104;HYZAAR 50/12,5MG C/30CP (SUP)           
4004105;MAXIDRATE GEL 6MG/G NASAL 30G (LIB)     
4004106;MODURETIC 50MG/5MG C/30CP (SUP)         
4004107;MODURETIC 25/2,5MG C/30CP (SUP)         
4004108;MYLICON GOTAS C/15ML (JSF)              
4004109;NIMEGON 100MG C/28CP (PBM)              
4004110;NIMEGON 50MG C/28CP (PBM)               
4004111;NIMEGON MET 50/1000MG C/56CP (PBM)      
4004112;NIMEGON MET 50/500MG C/56CP (PBM)       
4004113;NIMEGON MET 50/850MG C/56CP (PBM)       
4004114;NOOTROPIL 800MG C/30CP (UCB)            
4004115;OXOTRON 60MG C/15CP (ACH)               
4004116;PROS 2MG C/30CP (SUP)                   
4004117;PROS-HP 2MG+5MG C/30CP (SUP)            
4004118;QUELATUS C/60CP (MOM)                   
4004119;REFORGAN 250MG C/20CP (NKH)             
4004120;REHIDRAT 50 LARANJA C/4EV X 7,625G (SUP)
4004121;REHIDRAT NAT 50 C/4EV X 7,337G (SUP)    
4004122;ROXETIN 20MG C/30CP C1 (SUP)            
4004123;SONRISAL LIMAO.C/30ENVX2CP (GKO) CX 30  
4004124;STILGRIP GRANULADO 5G (HTZ) CX50        
4004125;TARFIC 0,3MG/G POM 10G OR BG (LIB)      
4004126;TARFIC 1,0MG/G POM 10G (LIB)            
4004127;TRIADE C/60CAPS (GRS)                   
4004130;PAROXETINA 20MG 30CP MEDLEY             
4004141;ALPRAZOLAM 1MG C/30CP                   
4004150;BRONQTRAT INF 100ML NATULAB             
4004151;NAPROXENO 500MG C/20CP                  
4004155;ADDERA D3 50.000UI C/4CP (HPP)          
4004160;COGLIVE 8 MG CX 30 CAP                  
4004161;FLOGORAL COLUTORIO LAR 150ML            
4004170;CLORIDRATO DE SERTRALINA 50 MG 30 CP EUR
4004180;ACEVITON 1 G COMP EFERV TB              
4004181;ACEVITON KIDS 30 MG GOMA FR 25 LARANJA  
4004182;ACIDO ACETILSALICILICO 100MG 30CPR      
4004183;AMBROXMEL SPR FR 30ML SAB  MEL/EUC CX12 
4004184;AMBROXMEL 3MG-ML PED XPE FR 120ML       
4004185;AMBROXMEL 6MG-ML AD XPE FR 120ML        
4004186;CETO + DIPRO BETA + SULF NEOMICINA      
4004187;CIFLOGEX 3,0MG CX 12 PAST SABOR LIMÃO   
4004188;CIFLOGEX 3MG 1 BL X12 MENTA-LIMAO       
4004189;CIFLOGEX SPRAY 30ML MENTA               
4004190;CIMECORT CR 30MG                        
4004191;CIMEGRIPE 77C CHA 100 MG-G PO 50 ENV X 5
4004192;CIMEGRIPE DISPLAY 10X10 CAPS -100CAPS   
4004193;CIMEGRIPE 20 CAPS                       
4004194;CIMEGRIPE SOL OR FR 20ML GOTAS          
4004195;CIMELIDE 100MG                          
4004196;CIMELIDE 50MG/ML                        
4004197;COLUJET 1 MG/G                          
4004199;DIAD 0,75 MG                            
4004200;EPATIVAN SOL OR DPL 10 FLAC X 10ML      
4004201;FLUCONAZOL 150MG 1CAP                   
4004202;FLUCONAZOL 150MG 2CAP                   
4004204;LAVITAN AZ COMP REV FR C/ 60            
4004205;LAVITAN AZ MULHER COMP REV FR C/ 60     
4004208;LAVITAN CALCIO 600 MG+D3 COMP FR C/ 60  
4004210;LAVITAN ENERGIA COMP REV FRX60          
4004211;LAVITAN HAIR CABEL/UNHAS CPS 2BLX15     
4004212;LAVITAN KIDS COMP MAST FR 60 LAR/UVA/LIM
4004213;LAVITAN KIDS COMP MAST TUTTI FRUTTI     
4004214;LAVITAN KIDS SOL OR FR LARANJA 240ML    
4004215;LAVITAN MAIS BEAUTY CAPS 4 BLX15        
4004216;LAVITAN MAIS HAIR 4 BLX15 CAPS          
4004217;LAVITAN MAIS HAIR MEN CAPS 4 BLX15      
4004218;LAVITAN MAIS VISAO CAPS FR C/ 60        
4004219;LAVITAN MEMORIA COMP REV FR C/60        
4004220;LAVITAN SENIOR COMP REV FR C/ 60        
4004222;LAVITAN VITAMINA D 30ML                 
4004224;LORATAMED 10 MG COMP 1BLX12             
4004225;LORATAMED 1MG-ML XPE FR 100ML           
4004226;NARIX 0,5MG-M FR 30ML                   
4004227;NARIX SPRAY 9MG-ML SOL FR 50ML          
4004229;OLEO MINERAL SOL FR 100ML               
4004231;SIMETICONA 75 MG/ML                     
4004232;ULCEROCIN 150MG                         
4004233;VALERIMED 50MG                          
4004234;VANTIL 50MG-ML SUS OR FR 30ML           
4004237;NIMESULIDA 100MG                        
4004240;CIMECORT CR                             
4004241;CLOR METFORMINA 850MG                   
4004242;PANTOPRAZOL SÃDICO SESQUI HIDRATADO 20MG
4004243;PANTOPRAZOL SÃDICO SESQUI HIDRATADO 40MG
4004260;LOSARTANA POTASSICA 100MG 3BL X10CP MEDL
4004270;IRUXOL MONO POM 30G ABBOTT              
4004280;IRUXOL COLAGENASE 0,6U/10MG POM 15G     
4004281;MAXIFLOX-D POM OFT 3,5G LATI            
4004290;ESTOMAZIL SEM SABOR 100G                
4004292;ESTOMAZIL ABACAXI GRAN 100GR            
4004294;PROCTOSAN POMADA C/20G+6APL             
4004295;AMPLIUM G CREME C/80G                   
4004296;LAVITAN AZ MAIS COMP REV FR C/ 90       
4004297;DIPROGENTA POMADA 30G (HPD)             
4004300;BUSCOFEM 400MG 2CP CX28                 
4004306;LAMOTRIGINA 25MG CX 30CP-EUROFARMA (C1) 
4004308;FEMINA 150MCG+20MCG C/63CP ACHE         
4004309;TANISEA 500MG 6CPR REV. ACHE            
4004310;TANISEA 20MG/ML PO SUSP C/100ML ACHE    
4004311;TANISEA 20MG/ML PO SUSP C/45ML ACHE     
4004312;DONAREN RETARD 150MG C/20CP APS         
4004313;COLCHIS 0,5MG C/30CP APS                
4004314;SUPRELLE 0,5MG/1MG C/28CP (BLB)         
4004330;LORATADINA 1MG/ML XPE FR 100 ML         
4004340;ALPRAZOLAM 0,5MG C/30CP BIOSINTETICA    
4004341;COMPLEXO B XAROPE C/120ML EMS           
4004342;LUMIGAN RC SOL ESTERIL C/3ML (ALL)      
4004351;ALDACTONE 100MG C/16CP                  
4004352;ALGINAC RETARD 1MG+100MG C/10CP         
4004353;ALOXIDIL C/50ML                         
4004354;ATENSINA 0,100MG C/30CP                 
4004356;BUSCOPAN COMPOSTO C/3APX5ML             
4004357;CARDIZEM SR 90MG C/20CAP                
4004359;DAFLON 1000 C/30CP                      
4004360;DECADRON 0,5MG C/20CP                   
4004361;DECADRON 0,75MG C/20CP                  
4004362;DECADRON 4MG INJ C/1FRX2,5ML            
4004363;DECNAZOL 1000MG C/2CP                   
4004364;DEPAKOTE 250MG C/30CP C1                
4004365;DEPAKOTE ER 250MG C/30CP REV C1         
4004366;DIPROGENTA CREME 30G                    
4004367;DRENISON CREM 0,125MG 30G               
4004368;DUOVENT N C/10ML                        
4004369;ENSURE PO C/FOS BAUNILHA 400G           
4004370;ENSURE PO C/FOS MORANGO 400G            
4004371;ESOMEPRAZOL 40MG C/28CP                 
4004372;EVANOR C/21CP                           
4004374;GLIFAGE 500MG C/30CP                    
4004375;GYNAZOLE-1 2PC CRM VAG 1APLX5G          
4004377;LISADOR C/16CP                          
4004378;LIVALO 2MG C/30CP                       
4004379;MERTHIOLATE 10MG SOL 30ML               
4004380;MICARDIS 80MG C/30COMP                  
4004381;MICARDIS HCT 40/12,5MG C/30CP           
4004382;MICARDIS HCT 80/12,5MG C/30CP           
4004383;NALDECON DIA C/24CP                     
4004384;NALDECON NOITE C/24CP                   
4004385;OMCILON-A ORABASE C/10G                 
4004386;PATZ SL 5MG C/30CP B1                   
4004387;PLETIL 500MG ADT C/4CP                  
4004388;PRAZOL 30MG C/14CP                      
4004389;PRAZOL 30MG C/28CP                      
4004390;PURAN T4 25MG C/30CP                    
4004391;QUADRIDERM CREME 20G                    
4004392;ROSUVASTATINA CALCICA 10MG C/30CP       
4004393;SECNIDAZOL 1000MG C/2CP                 
4004394;STEZZA C/28CP                           
4004396;CELESTONE 2MG C/10CP                    
4004400;METOPROLOL 100MG C/30CP (BIG)           
4004401;DRENIFORMIO CREME 30G (BLB)             
4004410;HIDROQUINONA+TRET+FLUO CREME 15G (EMG)  
4004420;VITA SUPRAZ COMP REVESTIDO C/60 CPR     
4004421;COLACT 667MG/ML LIQ FRUTAS 120ML        
4004422;FLORASTOR SACHE 4G CX C/ 6 SACHES       
4004423;FLORASTOR CAPSULAS CX C/ 12             
4004424;ABLOK 25MG C/30 COMP                    
4004425;VASOPRIL 10MG C/ 30 COMP                
4004427;PANTOGAR MEN 30 CAPSULAS                
4004430;PSOREX POMADA C/30G GXD                 
4004441;LUFTA GASTROPRO 10ML CX24               
4004442;FLOGORAL COLUTORIO MENTA 250ML ACHE     
4004450;ARTICO 30CAPS EUROFARMA                 
4004460;FEMME FLUOR 30CPR                       
